Gender,Location,Age,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Actual_Churn,Predicted_Churn_Prob,Predicted_Churn
Female,Delhi,23.861103801065376,9,23242.01,2,1,0,51166.144668473615,0,0.14,0
Female,Bangalore,27.363439417118908,8,89396.74,2,0,0,62176.90804545356,0,0.16,0
Female,Bangalore,57.6249175748126,3,79395.76,1,0,1,111607.74396116532,0,0.12,0
Male,Hyderabad,38.46375246142749,5,30181.91,2,1,1,97621.86205352392,0,0.08,0
Male,Mumbai,65.76527604062069,3,43814.61,1,1,1,10000.0,0,0.22,0
Male,Kolkata,35.68871835346667,0,68681.53,2,1,0,141622.4757074531,0,0.14,0
Female,Mumbai,25.24069554521376,10,0.0,1,1,0,81523.53879008308,0,0.09,0
Male,Chennai,35.58499288006395,9,53900.49,3,1,1,40853.45849800688,1,0.32,0
Female,Mumbai,50.92205557329054,3,24480.9,1,1,1,104757.3427791998,0,0.1,0
Male,Delhi,26.876309299623124,4,102707.87,1,0,1,46981.33046007065,0,0.07,0
Female,Chennai,36.58323660372882,10,18196.51,2,1,0,139152.0658641343,0,0.13,0
Female,Mumbai,50.59733400847597,0,45183.46,2,1,1,109179.24748589036,1,0.17,0
Female,Chennai,62.39311866307367,6,48325.72,2,1,1,94933.48668387313,0,0.2127229357798165,0
Female,Kolkata,45.96351545755466,8,45199.59,2,1,1,45900.93506699202,0,0.01,0
Female,Mumbai,32.3594400950888,5,42118.25,3,0,0,33043.71284719479,1,0.54,1
Male,Delhi,57.93048329374873,2,54721.44,2,0,0,123251.2994568608,0,0.23,0
Male,Chennai,26.63534279982872,4,50811.36,1,1,0,133521.07201258847,0,0.35,0
Male,Chennai,59.28911737657214,10,27555.4,2,1,0,116322.12333104615,0,0.16,0
Female,Delhi,61.185145130437775,7,70814.08,1,1,1,56891.83537362449,0,0.03,0
Female,Delhi,32.849165504496824,0,30308.6,1,0,1,95971.53710064884,0,0.08,0
Male,Delhi,51.34796261787764,7,86546.37,2,1,1,109719.44246183116,0,0.1,0
Female,Hyderabad,34.42820295121621,4,73480.97,1,0,1,147401.21593955037,0,0.01,0
Female,Kolkata,71.18362250114345,1,60226.65,2,1,1,74647.4083247178,0,0.21,0
Male,Bangalore,61.55687565606204,4,27505.67,1,0,0,148992.0516628452,1,0.42,0
Female,Mumbai,46.136905473747184,8,74252.14,1,0,1,107652.62861524252,0,0.03,0
Female,Delhi,49.694721129933576,6,0.0,1,1,1,23982.003538853103,0,0.06,0
Female,Bangalore,62.73023354563301,10,39476.52,1,1,0,145743.00922288478,1,0.28,0
Male,Delhi,26.100879611207024,3,36579.43,2,0,1,105947.83424164155,0,0.05,0
Female,Chennai,53.19852978617875,5,38675.55,1,1,1,86238.40576313829,1,0.1927229357798165,0
Male,Bangalore,45.411016117291176,7,77229.52,1,0,1,68642.70241518471,0,0.0,0
Male,Chennai,35.70439425198249,0,13312.53,2,0,0,63311.21514618683,0,0.15,0
Female,Chennai,61.2193018899068,1,74695.52,2,0,1,87069.37155885655,1,0.15,0
Male,Pune,44.20955190489762,9,70574.94,3,1,1,42839.31839251331,0,0.18,0
Female,Chennai,21.26875444589992,0,109228.19,2,1,0,150063.70513753608,0,0.15,0
Male,Chennai,51.17802896686595,8,51096.07,1,1,1,23042.822205843582,0,0.012722935779816513,0
Male,Mumbai,76.2096091869942,7,61339.65,1,1,1,136865.45134397587,0,0.3,0
Male,Delhi,62.158891586328885,7,55192.42,1,0,1,47278.74275755971,0,0.03,0
Male,Kolkata,47.56649905944758,9,6861.15,2,1,1,10000.0,0,0.05,0
Female,Kolkata,36.58260676772555,4,40145.59,1,0,1,80094.54121176258,0,0.17,0
Male,Chennai,49.42235190686228,2,61163.29,1,1,1,122437.36006471784,0,0.022722935779816513,0
Male,Pune,55.13711963514263,10,53750.5,2,1,0,33904.816266308575,1,0.42,0
Male,Delhi,72.62373620746767,8,123808.82,1,1,1,123717.25767202998,0,0.2,0
Male,Pune,61.5428352183804,2,60612.6,2,0,0,71657.18624995438,1,0.32,0
Male,Kolkata,21.80346699904505,4,74630.43,1,1,0,91013.00247805694,0,0.14,0
Male,Mumbai,35.16626968257583,3,48745.43,1,0,0,129739.51207804945,0,0.16,0
Male,Pune,44.72724931062971,7,88917.38,2,1,1,10000.0,0,0.05,0
Female,Mumbai,48.69488396714432,6,56789.69,2,1,1,106628.09097711324,0,0.03,0
Female,Mumbai,51.66062156690432,1,77401.33,2,0,0,87914.21974118329,0,0.21,0
Male,Chennai,55.20294831630722,6,79191.95,2,0,1,56274.61549622356,1,0.08,0
Male,Hyderabad,49.53993389899922,9,54243.32,2,0,0,10000.0,0,0.22,0
Male,Chennai,39.85314430717061,7,99048.23,2,1,0,114547.48042570364,1,0.17,0
Male,Delhi,65.22464375955064,3,37134.34,2,1,1,73035.12785605335,0,0.22,0
Female,Delhi,48.71553425737656,5,46070.37,2,1,0,67210.08499387001,0,0.36,0
Male,Bangalore,53.01718009010132,2,72812.74,2,0,0,60937.04881987137,1,0.29,0
Female,Chennai,70.92629499352032,9,0.0,1,0,0,31436.07054951165,0,0.28,0
Female,Delhi,38.6510848359576,10,45047.84,3,1,0,29646.241063633053,1,0.45,0
Female,Pune,39.102302751614495,6,34209.19,2,0,1,81169.70849715782,0,0.01,0
Male,Hyderabad,28.266705166927885,4,45410.19,2,1,1,66826.10151321554,0,0.12,0
Male,Kolkata,66.4034884173797,6,0.0,2,1,0,68087.7427552423,0,0.16,0
Female,Mumbai,51.08269678982582,1,32190.32,2,1,0,102621.48379273404,0,0.06,0
Male,Hyderabad,69.88037196038835,2,25958.58,1,0,0,137560.2982565526,0,0.43,0
Female,Pune,38.83297347968984,2,19465.81,1,1,0,31253.9850357362,0,0.17,0
Female,Pune,19.04887682658394,6,44837.28,2,0,1,87669.32393249882,0,0.02,0
Female,Delhi,65.74076149033131,9,24466.35,2,0,0,80094.54121176258,0,0.16,0
Female,Delhi,28.299204541056547,0,24990.37,2,0,1,136855.35808821468,0,0.06,0
Male,Pune,40.99152697628353,1,41040.78,2,1,1,83458.3070777746,0,0.09,0
Male,Delhi,41.43387288847101,10,12295.06,2,1,1,76445.47542300538,0,0.06,0
Male,Delhi,40.69604473428022,8,0.0,2,1,0,55633.447067978166,0,0.25,0
Male,Pune,65.33039189057986,3,0.0,1,1,0,124720.16477389302,0,0.24,0
Female,Delhi,47.66992390767055,5,86089.37,2,1,0,10000.0,0,0.32,0
Female,Kolkata,54.45300315779368,0,62654.17,1,1,1,45345.36977337908,0,0.17,0
Male,Kolkata,41.15608039513448,6,71895.85,2,0,1,127313.64765176116,0,0.0,0
Female,Bangalore,56.75666341412761,6,93760.73,2,1,1,96483.50347969054,0,0.07,0
Female,Kolkata,45.1251379366154,1,64695.26,1,1,0,82698.79371332635,0,0.26,0
Female,Delhi,37.590032142653634,9,80686.13,1,0,0,84596.84626935575,0,0.13,0
Male,Mumbai,44.51625161001682,10,46645.31,1,1,1,20300.262656728497,0,0.0,0
Male,Pune,63.10365734791346,9,59215.25,1,0,0,128734.4988211972,0,0.23,0
Male,Kolkata,44.57252782786912,10,48102.99,1,1,1,74171.26278112688,0,0.02,0
Male,Bangalore,18.30486837813674,2,52419.08,1,1,1,52612.82787466713,0,0.0,0
Male,Chennai,18.13536692786337,2,56995.37,1,0,0,13463.680312435215,0,0.25,0
Female,Kolkata,43.15635399722348,4,86359.25,2,1,1,81144.92073222804,0,0.08,0
Female,Delhi,55.77420969296515,9,52355.96,1,0,0,185592.066444183,0,0.3,0
Female,Kolkata,18.0,9,63123.63,2,1,0,110198.40864263364,0,0.06,0
Female,Chennai,52.5505062649577,0,24728.8,1,1,1,132766.8077652732,0,0.12272293577981651,0
Male,Bangalore,41.62858926048169,10,99943.93,1,1,1,17468.162984903443,0,0.03,0
Female,Kolkata,30.24399715069159,0,34089.12,1,0,0,47769.21478164644,0,0.2,0
Female,Bangalore,46.77193731125392,2,37425.88,2,1,0,103935.27116876628,0,0.2,0
Female,Mumbai,28.50295065533699,6,5946.36,2,1,1,119975.70542885296,0,0.01,0
Female,Bangalore,20.768496671424707,2,36595.63,2,0,1,109858.69750898347,0,0.07,0
Male,Pune,54.86001535581327,2,12374.63,2,1,0,15453.25886789464,0,0.21,0
Female,Bangalore,67.38705566347011,9,0.0,1,0,1,99480.01303945352,0,0.05,0
Female,Mumbai,61.47570210763516,6,99453.07,2,0,1,32298.551629179343,0,0.07,0
Female,Chennai,50.97459111020332,0,49812.21,1,0,1,10000.0,0,0.08,0
Female,Hyderabad,37.3289822764224,3,0.0,3,1,0,109848.55943892206,1,0.12,0
Male,Hyderabad,41.767627098776885,2,17158.74,1,1,0,84137.13623602675,0,0.28,0
Male,Delhi,59.99395009380039,1,30235.22,2,1,1,66167.64884174992,0,0.17,0
Male,Delhi,33.89488367825403,9,74015.46,1,0,0,116596.59934539392,0,0.14,0
Female,Chennai,30.419065077364635,7,36740.82,1,1,1,113433.9855516766,0,0.02,0
Male,Mumbai,36.38101046288225,8,69801.39,2,1,0,56195.78726670462,1,0.07,0
Male,Hyderabad,45.13110384430418,1,68991.87,1,1,1,50539.283600779,0,0.04,0
Male,Bangalore,57.80535897467835,7,0.0,2,1,0,52723.73238837582,0,0.22,0
Female,Pune,29.853129814344364,9,28128.48,2,1,0,127817.47624786358,0,0.09,0
Female,Bangalore,31.555893471684435,10,13720.9,2,1,1,77360.25258795432,0,0.03,0
Male,Delhi,52.9133779582028,1,38722.06,1,1,1,90732.42511165708,0,0.27,0
Male,Mumbai,51.55189974116458,3,44221.65,2,1,1,53560.41997074824,0,0.13,0
Male,Chennai,27.49338933923751,5,3016.68,2,1,0,96770.65823503076,1,0.27,0
Male,Kolkata,58.69621409243757,7,16770.53,1,0,0,136282.22885112884,0,0.17,0
Male,Hyderabad,24.43519016096837,3,43803.76,1,1,0,69154.7501602591,0,0.34,0
Female,Pune,66.08436816031931,2,60978.12,1,1,1,22003.31727594734,0,0.2,0
Female,Bangalore,47.76823056198384,1,79843.05,1,1,1,134326.0023446789,0,0.08,0
Male,Hyderabad,52.59317258993583,10,67358.47,2,0,1,54512.35047097897,0,0.15,0
Male,Mumbai,40.01792205011249,6,86566.99,1,1,1,50447.54582392471,0,0.09,0
Female,Mumbai,21.30115335007664,6,9663.83,1,1,1,97143.67057500633,0,0.0,0
Male,Hyderabad,35.39001284663082,7,102513.96,2,0,1,25108.574354631863,0,0.06,0
Male,Chennai,39.2225929145419,8,34497.83,2,1,0,43863.452374056506,0,0.17,0
Female,Delhi,44.111737686332624,9,89570.69,1,1,1,104217.39511351762,0,0.06,0
Male,Bangalore,48.15009017931076,5,24966.68,1,0,1,61465.44332064985,0,0.08,0
Female,Mumbai,57.3071288259063,0,6685.39,1,1,0,41175.18345485308,0,0.09,0
Female,Delhi,59.65915536405772,2,27745.69,2,1,1,70042.62843289155,0,0.16,0
Male,Mumbai,43.28588917594694,4,4177.26,1,0,1,124229.51212841208,0,0.02,0
Female,Pune,68.30119161172713,7,112226.67,2,0,1,70539.18571086322,1,0.17,0
Male,Bangalore,42.1289537798608,8,90241.89,2,1,0,144346.85271349183,0,0.16,0
Male,Kolkata,47.35228246560995,5,65805.26,1,1,1,96835.4671484722,0,0.03,0
Female,Chennai,49.105327812954826,4,32349.41,2,1,1,113368.88410242066,0,0.10272293577981652,0
Female,Chennai,28.81698265205529,1,51745.93,1,1,0,84584.95845382495,0,0.34,0
Male,Mumbai,18.0,0,5001.37,1,0,0,86944.44344290414,0,0.25,0
Female,Kolkata,32.48356524867744,3,0.0,1,1,1,97076.3561431401,0,0.18,0
Male,Mumbai,40.185028981449214,3,50669.48,2,1,1,45868.10037412572,1,0.03,0
Male,Mumbai,59.97132287246683,3,49431.03,1,1,0,10000.0,1,0.12,0
Female,Kolkata,22.84651634358333,7,25331.48,2,1,1,106159.59950996444,0,0.01,0
Female,Delhi,49.95207598528531,9,58324.37,1,1,1,69901.43264174607,0,0.01,0
Male,Kolkata,31.62436475768103,2,21800.87,1,1,0,187656.2478268811,0,0.26,0
Male,Mumbai,51.67996223782358,10,86269.04,1,1,1,86757.78924464068,0,0.24,0
Male,Pune,66.14214452019525,1,53204.88,2,1,0,99524.78539586152,0,0.22,0
Female,Mumbai,37.350386931378125,6,53612.61,1,1,1,59119.00769710672,0,0.01,0
Male,Chennai,28.275799282072363,2,45168.96,2,1,0,134661.44691908386,0,0.17,0
Female,Pune,52.47816047490193,0,41307.58,1,1,1,17261.540209180464,1,0.16,0
Male,Chennai,53.58218565421677,6,107997.04,2,0,0,46089.07142572058,1,0.45,0
Female,Mumbai,52.917001746763006,4,11951.66,2,0,1,101511.77937664615,0,0.06,0
Female,Kolkata,49.75681886720748,8,68134.79,2,1,0,41853.41043119039,0,0.16,0
Female,Pune,37.02246236862592,2,68356.51,1,1,0,58626.53970223277,0,0.25,0
Female,Bangalore,44.96611279777948,1,78823.32,2,0,0,17574.94876491605,0,0.34,0
Male,Chennai,64.32168215785131,10,34389.3,1,1,0,74266.99250741044,0,0.11,0
Male,Pune,53.84237317077142,0,97075.99,1,1,0,100408.33306376266,1,0.29,0
Female,Hyderabad,39.38206195264914,7,69267.02,1,1,1,89923.50022940221,0,0.01,0
Male,Mumbai,33.60172754592279,7,78373.93,1,1,0,20373.99169164296,0,0.15,0
Female,Delhi,76.53222693668918,3,20790.26,1,1,1,136353.93640201323,0,0.23,0
Female,Pune,70.5461517993967,3,0.0,1,0,0,114307.42714381036,1,0.41,0
Female,Delhi,40.08579451176726,9,44003.02,1,1,0,63182.75934028074,1,0.31,0
Female,Pune,39.23701551588893,3,20551.59,1,1,1,53846.71413960081,0,0.04,0
Male,Bangalore,61.732221675315415,3,65315.77,1,1,1,89263.25452038004,0,0.15,0
Female,Pune,35.184812838973066,10,47834.31,1,1,0,32526.0834327226,1,0.15,0
Male,Delhi,26.52687678929684,6,54810.25,1,1,1,43180.99834171686,0,0.02,0
Female,Mumbai,25.74252836656746,4,19502.74,1,1,0,116140.11586011304,0,0.12,0
Female,Bangalore,48.39811885664669,3,0.0,1,1,1,41826.15567867561,0,0.12,0
Female,Delhi,75.71328249462906,3,36110.08,1,0,0,59619.10324354893,1,0.25,0
Male,Chennai,40.91600141927258,0,68236.96,1,0,0,94185.60113076582,0,0.18,0
Female,Kolkata,36.44429028600144,4,32691.29,2,1,1,46212.526157705855,0,0.06,0
Female,Chennai,43.71583211106223,10,73289.25,2,1,0,101409.92629029664,0,0.27,0
Male,Chennai,44.2010512017913,9,53818.76,1,0,0,32653.03559480774,0,0.18,0
Female,Hyderabad,55.40852661339496,1,44959.68,2,0,1,66445.04869763626,0,0.19,0
Female,Bangalore,30.405067593450703,0,101267.84,1,1,1,100814.69492869575,0,0.09,0
Female,Mumbai,18.0,2,47706.85,1,1,0,35771.689235374004,0,0.23,0
Male,Mumbai,44.95763995366052,3,96044.64,1,1,0,47532.01755161518,1,0.16,0
Male,Hyderabad,26.76094124236189,3,9897.58,2,1,1,41514.12820838224,0,0.05,0
Male,Hyderabad,42.1846330122377,6,70961.82,2,1,1,118994.13152159569,0,0.02,0
Female,Kolkata,40.0654482282194,3,56820.07,2,0,0,115434.70164144233,0,0.13,0
Female,Mumbai,50.05601011128871,10,75694.05,1,1,1,40760.09215630436,0,0.09,0
Male,Chennai,34.20211486338999,2,13443.06,1,0,0,67598.9123258385,1,0.22,0
Male,Kolkata,66.91676777132744,6,33900.78,2,1,0,63887.755967451216,1,0.17,0
Female,Bangalore,48.468652759390366,0,86885.97,2,1,0,87403.09993244943,1,0.22,0
Female,Mumbai,35.41998971213029,4,35461.13,1,1,1,148254.3735076375,0,0.05,0
Male,Hyderabad,27.366721566086778,7,74403.78,1,0,0,129022.24990221795,0,0.12,0
Female,Hyderabad,28.519863703162343,1,62834.57,1,0,1,21598.07736094306,0,0.09,0
Male,Pune,44.325552722627,2,38765.9,2,0,0,124144.72792823624,1,0.25,0
Female,Hyderabad,62.90500795788559,9,33775.2,2,1,1,91912.48066959062,0,0.08,0
Female,Kolkata,38.66393307154579,4,103916.32,3,1,1,47009.86787219327,0,0.23,0
Male,Mumbai,48.01040797889209,4,90995.21,2,1,1,173653.49831066522,0,0.09,0
Female,Bangalore,57.436332786216845,9,32715.13,2,1,1,43111.68587025144,0,0.06,0
Female,Chennai,53.692495928328086,1,117581.02,2,1,0,136226.89516319986,0,0.18,0
Male,Mumbai,43.17517315847801,4,71325.61,1,1,0,159720.01648390072,0,0.16,0
Male,Hyderabad,42.48756189881437,8,59195.02,2,1,1,136238.87279287216,0,0.02,0
Male,Chennai,21.3518786378078,8,0.0,1,0,0,99738.63994368997,0,0.07,0
Female,Hyderabad,42.99049356351074,2,50222.21,2,0,1,78084.6852531506,0,0.06,0
Female,Pune,32.447220749834926,0,8866.07,1,0,1,106563.20897308944,0,0.07,0
Male,Chennai,70.48389231940138,9,52277.99,1,1,0,126019.14058236268,0,0.14,0
Female,Delhi,76.6016818315052,8,0.0,1,1,1,92394.050547224,0,0.16,0
Female,Bangalore,50.00802749162236,3,61978.04,2,1,0,133335.29719145756,0,0.22,0
Male,Mumbai,57.37159811210001,5,314.45,2,1,0,156625.91698782478,0,0.26,0
Female,Kolkata,34.79189979504225,1,63386.99,2,1,1,33593.54481223998,1,0.04,0
Female,Hyderabad,32.99307742772817,1,29136.47,2,1,1,68758.4523526975,0,0.13,0
Female,Delhi,46.941125531485895,9,72005.72,2,0,1,91303.266986539,0,0.02,0
Male,Bangalore,49.27485393227134,10,24933.87,2,1,0,80301.34264704674,0,0.21,0
Male,Kolkata,55.378034969236126,2,93554.96,1,0,0,82929.0940554415,0,0.28,0
Male,Delhi,50.27677203734031,2,8164.93,1,1,1,127018.74318854128,0,0.07,0
Male,Chennai,38.88651875960424,8,74533.88,2,1,0,158914.34788227655,0,0.2,0
Male,Hyderabad,56.40239295261902,0,55036.21,2,0,1,93044.31622823734,0,0.13,0
Male,Delhi,43.28374590408725,7,46115.94,3,1,1,60391.4758807832,0,0.64,1
Female,Delhi,58.35677492043842,4,37487.09,1,1,0,10000.0,1,0.21,0
Male,Delhi,44.134939392231686,5,79917.69,2,1,0,36747.522484017405,0,0.43,0
Male,Mumbai,56.07194686588871,2,37883.49,2,1,1,35315.73146553068,0,0.11,0
Male,Mumbai,45.93166697574648,6,0.0,2,0,1,121716.76110165531,0,0.02,0
Male,Kolkata,52.21077794140487,10,46604.12,2,1,0,43018.686838856855,0,0.12,0
Female,Bangalore,29.065102669759497,7,51114.42,2,0,0,85717.32067632864,0,0.13,0
Male,Kolkata,51.298571304163936,9,51834.59,1,1,0,145585.30635310363,0,0.3,0
Male,Mumbai,64.10701209730186,0,40283.2,1,1,1,108027.26011841572,0,0.06,0
Female,Delhi,40.9437018441386,8,40979.9,1,1,1,82233.08767579104,0,0.0,0
Female,Delhi,29.50157975706193,10,16051.74,2,1,1,123167.85970885507,0,0.03,0
Female,Delhi,43.19116770093133,9,7898.08,1,0,1,46320.051996913935,0,0.0,0
Female,Pune,18.0,5,43839.49,2,1,0,36793.90232290929,1,0.15,0
Male,Kolkata,65.66794121037606,1,14658.98,3,0,0,18251.680557478867,1,0.6,1
Male,Hyderabad,47.85437787020442,1,21129.36,2,1,0,74517.74092293023,1,0.31,0
Male,Chennai,36.99654976776056,1,61009.03,3,1,1,10000.0,1,0.5,0
Male,Mumbai,20.23537546560828,9,68272.68,1,0,1,107276.22503787812,0,0.03,0
Female,Kolkata,57.77091004225496,3,41975.35,2,1,0,102319.69991858846,0,0.22,0
Female,Chennai,37.85879244340607,7,55281.06,1,1,1,47788.31251817083,0,0.0,0
Female,Bangalore,38.756485770562506,10,77293.7,2,1,1,87003.57656387814,0,0.0,0
Male,Chennai,28.67530138857764,10,40198.26,3,0,0,116117.23005957445,0,0.62,1
Female,Delhi,32.32626376998582,5,43584.96,1,1,1,10000.0,0,0.09,0
Male,Delhi,42.84457323506739,1,84236.07,2,0,1,97134.94582272843,0,0.01,0
Female,Kolkata,18.0,5,69802.15,1,1,0,83657.25269722748,0,0.07,0
Male,Chennai,67.68247027881648,2,64352.1,1,1,0,47438.54146542177,0,0.23,0
Male,Delhi,69.09606512214987,10,65177.79,2,0,0,97936.1024501134,0,0.26,0
Male,Mumbai,53.40848266693747,2,89161.39,1,1,1,53461.68785203631,0,0.27,0
Female,Bangalore,39.010426671580106,9,77567.07,2,1,1,103435.88689038616,0,0.0,0
Male,Hyderabad,39.27847985947314,9,56107.75,2,1,1,98902.35583534068,0,0.01,0
Female,Chennai,39.48425205928183,5,48936.69,2,1,0,73596.16002195887,0,0.12,0
Male,Hyderabad,48.95777967549627,7,66469.26,2,1,0,94459.48830904922,0,0.2,0
Female,Chennai,20.92834051265328,0,9834.27,1,1,1,31877.2277286749,0,0.02,0
Male,Kolkata,61.15441678830092,9,1051.81,1,0,0,67557.8966063386,0,0.28,0
Female,Delhi,72.25602595513848,9,0.0,1,1,0,27470.9821873084,0,0.08,0
Female,Mumbai,53.26511747750411,2,45186.62,1,1,0,148568.58329516285,0,0.27,0
Male,Kolkata,37.80848436037864,6,84957.47,1,1,1,56654.782866901616,0,0.01,0
Female,Mumbai,23.69338259772265,7,38255.25,2,0,0,79115.36941229193,0,0.16,0
Male,Delhi,66.3459598771731,1,40394.62,1,0,0,97036.49216353885,1,0.26,0
Female,Pune,44.17849955026675,5,88340.48,1,1,1,126865.56212315612,0,0.04,0
Female,Bangalore,44.625866948641054,0,50206.79,1,0,0,55826.34287394561,0,0.27,0
Female,Pune,45.69767767313283,10,42831.3,1,1,1,25104.79793973072,0,0.01,0
Male,Chennai,24.93644464084753,1,41632.3,2,1,0,10000.0,1,0.19,0
Male,Mumbai,52.009881024515565,4,56003.74,1,0,1,102377.56405280322,1,0.08,0
Female,Chennai,58.92908277098351,4,40198.56,2,1,1,44114.69602445598,1,0.3427229357798165,0
Male,Mumbai,36.34031625940271,6,27621.86,1,1,0,53250.47262835991,0,0.11,0
Male,Bangalore,18.0,3,36618.09,2,0,1,90279.8221711812,0,0.09,0
Female,Delhi,46.21848960823991,0,56420.97,1,1,0,85217.79629110034,1,0.21,0
Male,Mumbai,55.5094612865325,1,47575.65,1,0,1,77601.4541446912,0,0.15,0
Male,Bangalore,18.0,3,70285.49,1,1,0,103202.14765052185,1,0.16,0
Male,Pune,28.85660539330157,1,16343.41,4,0,0,93814.46875129196,0,0.43,0
Male,Mumbai,58.85528148731247,10,69950.06,3,0,0,114375.96973734966,1,0.65,1
Female,Mumbai,50.938686766602885,4,83406.35,2,0,0,92945.36541770126,0,0.19,0
Female,Delhi,35.13422790872372,7,36416.24,1,1,0,57054.49550522017,0,0.23,0
Male,Pune,40.98257413299567,5,17050.56,2,0,0,96453.3475303135,0,0.12,0
Male,Mumbai,52.14624279472002,4,84576.69,1,1,0,79499.98730034445,1,0.49,0
Female,Delhi,39.7740456623487,6,89068.29,2,1,1,73161.3076020402,0,0.04,0
Male,Bangalore,56.78265788274862,8,44463.14,1,1,0,84096.08955162928,0,0.21,0
Male,Delhi,61.25969270938414,7,3216.33,1,1,0,43457.07721689948,0,0.14,0
Female,Pune,45.13110384430418,5,93099.09,2,1,0,124252.81344882384,0,0.16,0
Female,Delhi,32.39093078942784,2,60466.31,2,0,0,128744.08441302228,0,0.11,0
Male,Bangalore,51.4374599017322,8,62177.56,3,1,0,188655.586535146,0,0.45,0
Female,Kolkata,39.14424468951579,1,17601.42,2,1,0,80795.43687053873,0,0.22,0
Male,Kolkata,26.59555831546986,4,58861.73,1,1,0,103956.22818177036,1,0.04,0
Female,Mumbai,41.7526972692454,9,37446.67,2,1,0,50590.0386799556,0,0.37,0
Male,Kolkata,42.70269261331979,6,24605.27,3,0,1,48460.62723641799,0,0.33,0
Female,Delhi,39.314652663755965,3,14441.49,1,1,1,103698.1090784493,0,0.0,0
Female,Kolkata,47.42006282548342,4,85784.43,1,1,1,36975.38847829587,0,0.21,0
Female,Kolkata,27.2731760276212,5,65572.14,2,1,1,125232.3797066595,0,0.04,0
Female,Delhi,18.0,2,73419.6,2,1,1,10000.0,0,0.07,0
Male,Kolkata,31.5905372189514,1,60570.89,2,1,0,68414.66647812343,1,0.15,0
Female,Bangalore,18.0,4,128451.75,3,1,0,40070.19322139891,1,0.53,1
Male,Chennai,29.04513242874185,4,17983.62,2,0,1,61638.611505475856,0,0.04,0
Female,Kolkata,40.11464125766517,8,40757.26,3,1,1,151838.8664078968,0,0.22,0
Female,Mumbai,35.10370615467351,2,58235.7,2,0,1,132051.59428212408,0,0.01,0
Male,Mumbai,67.06054448011507,6,48074.2,1,1,1,43738.18875854934,0,0.08,0
Male,Kolkata,47.86726124372027,7,64109.41,1,0,0,91968.01774889596,0,0.15,0
Male,Mumbai,50.63889449978775,7,10292.01,2,1,0,95922.745497837,1,0.26,0
Female,Pune,34.845949577407616,2,29725.24,2,0,1,54206.23407595212,0,0.06,0
